pay_price,pay_currency,pay_value,recv_currency,recv_value,stock,recv_price,recv_cost,pay_cost,rmt_diff,rmt_diff_percent,timestamp
0.3916,EXALT,1.0,CHAOS,9.0,365,0.02347,0.21123,0.3916,-0.18000000000000002,-0.4596527068437181,2022-08-22 10:53:06
2.76,DIVINE,1.0,CHAOS,140.0,63,0.02347,3.2858,2.76,0.5300000000000002,0.19202898550724648,2022-08-22 10:53:06
188,MIRROR,1.0,CHAOS,10.0,11,0.02347,0.23470000000000002,188.0,-187.77,-0.9987765957446809,2022-08-22 10:53:06
