pay_price,pay_currency,pay_value,recv_currency,recv_value,stock,recv_price,recv_cost,pay_cost,rmt_diff,rmt_diff_percent,timestamp
0.3916,EXALT,1.0,CHAOS,9.0,274,0.02898,0.26082,0.3916,-0.13,-0.3319713993871297,2022-08-22 09:01:28
2.87,DIVINE,1.0,CHAOS,141.0,39,0.02898,4.08618,2.87,1.2199999999999998,0.4250871080139372,2022-08-22 09:01:28
